Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Wellington Hutt Valley 5 - KAF-3,-41.073338,175.178009,998.852903,496.483399,777.810321,1970.100611,3349.942182,0.001001,0.000299,0.000508,0.001286,0.002014
Wellington Pahiatua - Dougan-1,-40.645985,175.562729,906.796940,483.913477,730.149417,1822.152284,3117.567449,0.001103,0.000321,0.000549,0.001370,0.002066
Wellington Pahiatua - Hughes-1 Trench,-40.491135,175.684219,1022.090360,579.284223,828.631368,1817.421770,2857.801236,0.000978,0.000350,0.000550,0.001207,0.001726
Wellington Pahiatua - Dougan-2,-40.647087,175.561890,688.025190,355.160074,547.482141,1405.534438,2529.878828,0.001453,0.000395,0.000711,0.001827,0.002816
Whakatane North - Te Whetu trench,-38.137844,177.014114,8926.937505,5195.367385,7379.701114,16299.063840,26492.621241,0.000112,0.000038,0.000061,0.000136,0.000192
Whakatane South - Thalassa trench,-38.612709,176.968338,2836.593291,1583.903148,2311.271618,5490.141230,9046.164863,0.000353,0.000111,0.000182,0.000433,0.000631
Awatere Northeast 1 - Combined Taylors Pass Road trenches and Lake Jasper cores,-41.662071,173.977676,1067.632584,891.062579,997.825838,1230.514991,1463.204143,0.000937,0.000683,0.000813,0.001002,0.001122
Hope Conway - Combined Greenburn East and West trenches,-42.395164,173.397201,234.119395,133.105263,187.076713,358.472531,480.272964,0.004271,0.002082,0.002790,0.005345,0.007513
Hope Hope River - Hope Shelter trenches combined,-42.615269,172.298904,276.973850,161.835145,225.528897,480.303904,759.576509,0.003610,0.001317,0.002082,0.004434,0.006179
Paeroa - Combined Paeroa trenches,-38.292915,176.347321,2564.874387,1636.834647,2131.789175,3987.868654,5802.701923,0.000390,0.000172,0.000251,0.000469,0.000611
Poukawa - Combined Poukawa trenches,-39.89639664,176.60903931,5779.332504,2784.563330,4526.974486,11823.321202,20644.277680,0.000173,0.000048,0.000085,0.000221,0.000359
Wairarapa 2 - Cross Creek South combined (1- 4),-41.170505,175.242767,1355.257895,802.193092,1084.538487,1875.105592,2350.110197,0.000738,0.000426,0.000533,0.000922,0.001247
Edgecumbe 1987_5294-5308_Combined,-37.992892,176.836865,576.794059,50.271042,288.397030,1341.443065,2293.947016,0.001734,0.000436,0.000745,0.003467,0.019892
Flaxmore - Waimea - Tahunanui_5507_Wairoa-2 trench,-41.388778,173.152728,5063.366662,691.939174,2678.211626,8278.848705,11535.033054,0.000197,0.000087,0.000121,0.000373,0.001445
Hope Hope River_648_Matagouri Flat,-42.686832,172.056509,405.631585,37.207214,190.413388,730.282764,1042.531538,0.002465,0.000959,0.001369,0.005252,0.026877
The Humps_5565-5696_Combined ,-42.618360,173.077671,3733.300000,353.150000,2068.450000,9938.650000,22954.750000,0.000268,0.000044,0.000101,0.000483,0.002832
Wairau_5519-5522_Combined Zinke,-41.588269,173.486152,1346.855010,121.089488,622.442457,2351.685325,3277.913692,0.000742,0.000305,0.000425,0.001607,0.008258
Waitawhiti_5369-5379_Combined,-40.662689,176.091516,4860.563064,462.095784,2447.396191,10217.451230,16755.250844,0.000206,0.000060,0.000098,0.000409,0.002164
Whitemans Valley_1023_Whitemans Valley trench,-41.193101,175.015530,17975.100000,1822.650000,9113.250000,37647.150000,61655.850000,0.000056,0.000016,0.000027,0.000110,0.000549
Hope Conway_666-675_Combined,-42.425213,173.292386,258.651987,23.799575,122.590265,467.459581,654.263793,0.003866,0.001528,0.002139,0.008157,0.042018
Fox Peak_4035_Trench 4,-43.872320,170.828035,1967.500000,275.450000,1141.150000,4603.950000,10427.750000,0.000508,0.000096,0.000217,0.000876,0.003630
