Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Wellington Pahiatua - Hughes-1 Trench,-40.491135,175.684219,1026.937969,571.538068,830.572874,1816.576329,2844.359591,0.000974,0.000352,0.000550,0.001204,0.001750
Wellington Pahiatua - Dougan-2,-40.647087,175.561890,694.139394,365.430672,555.351267,1402.689307,2527.603602,0.001441,0.000396,0.000713,0.001801,0.002736
Whakatane North - Te Whetu trench,-38.137844,177.014114,8931.599236,5094.596289,7414.644583,16337.907250,26331.961437,0.000112,0.000038,0.000061,0.000135,0.000196
Whakatane South - Thalassa trench,-38.612709,176.968338,2829.438413,1586.510054,2312.715387,5496.846464,9099.942155,0.000353,0.000110,0.000182,0.000432,0.000630
Awatere Northeast 1 - Combined Taylors Pass Road trenches and Lake Jasper cores,-41.662071,173.977676,1070.436504,898.342691,1001.933141,1249.213571,1489.810746,0.000934,0.000671,0.000801,0.000998,0.001113
Hope Conway - Combined Greenburn East and West trenches,-42.395164,173.397201,247.318545,138.369115,200.257549,418.156410,592.217630,0.004043,0.001689,0.002391,0.004994,0.007227
Hope Hope River - Hope Shelter trenches combined,-42.615269,172.298904,275.407290,163.780856,228.276129,481.296047,759.121840,0.003631,0.001317,0.002078,0.004381,0.006106
Poukawa - Combined Poukawa trenches,-39.896397,176.609000,5676.760372,2842.134034,4433.503206,11793.585627,20546.116074,0.000176,0.000049,0.000085,0.000226,0.000352
Wairarapa 2 - Cross Creek South combined (1- 4),-41.170505,175.242767,1483.049999,863.006104,1206.972060,2483.266792,3596.630282,0.000674,0.000278,0.000403,0.000829,0.001159
Wairarapa 2 - Cross Creek North combined (2- 3),-41.170269,175.242127,1999.253406,1071.450498,1569.295961,3243.867063,4529.213531,0.000500,0.000221,0.000308,0.000637,0.000933
Alfredton South_993-999_Combined,-40.702823,175.840539,5684.210526,362.425857,1758.330889,13712.418705,68695.938481,0.000176,0.000015,0.000073,0.000569,0.002759
Flaxmore - Waimea - Tahunanui_5507_Wairoa-2 trench,-41.388778,173.152728,1641.384373,198.044747,738.325779,3630.370249,13634.801966,0.000609,0.000073,0.000275,0.001354,0.005049
Fox Peak_4035_Trench 4,-43.872320,170.828035,2419.243986,290.353729,1093.979909,5327.838605,19834.675993,0.000413,0.000050,0.000188,0.000914,0.003444
Greendale_5000-5277_Combined,-43.597316,172.180445,5970.149254,330.443779,1589.257214,13156.471556,68037.476096,0.000168,0.000015,0.000076,0.000629,0.003026
Hope Conway_666-675_Combined,-42.425213,173.292386,393.382740,35.470925,181.844554,698.120941,990.844752,0.002542,0.001009,0.001432,0.005499,0.028192
Hope Hope River_648_Matagouri Flat,-42.686832,172.056509,2093.023256,187.679473,927.305466,4585.639647,12254.903276,0.000478,0.000082,0.000218,0.001078,0.005328
