Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Wellington Pahiatua - Hughes-1 Trench,-40.491135,175.684219,1025.630953,580.876497,831.511605,1829.137622,2939.795158,0.000975,0.000340,0.000547,0.001203,0.001722
Wellington Pahiatua - Dougan-2,-40.647087,175.561890,693.285899,361.516124,556.154392,1405.485018,2529.078658,0.001442,0.000395,0.000711,0.001798,0.002766
Whakatane North - Te Whetu trench,-38.137844,177.014114,9012.916182,5166.387746,7390.886119,16381.567042,26484.497151,0.000111,0.000038,0.000061,0.000135,0.000194
Whakatane South - Thalassa trench,-38.612709,176.968338,2826.657394,1584.795522,2318.978012,5536.884245,9473.352063,0.000354,0.000106,0.000181,0.000431,0.000631
Awatere Northeast 1 - Combined Taylors Pass Road trenches and Lake Jasper cores,-41.662071,173.977676,1070.061089,897.427283,1000.401834,1254.809547,1503.159935,0.000935,0.000665,0.000797,0.001000,0.001114
Hope Conway - Combined Greenburn East and West trenches,-42.395164,173.397201,237.885938,136.511279,189.494550,343.499258,445.933582,0.004204,0.002242,0.002911,0.005277,0.007325
Hope Hope River - Hope Shelter trenches combined,-42.615269,172.298904,276.695000,163.150082,227.632381,479.954421,760.312244,0.003614,0.001315,0.002084,0.004393,0.006129
Paeroa - Combined Paeroa trenches,-38.292915,176.347321,2532.131290,1573.650962,2078.114292,3927.813172,5710.250273,0.000395,0.000175,0.000255,0.000481,0.000635
Poukawa - Combined Poukawa trenches,-39.896397,176.609000,5696.517570,2796.579246,4485.863707,11806.096369,20646.685046,0.000176,0.000048,0.000085,0.000223,0.000358
Wairarapa 2 - Cross Creek South combined (1- 4),-41.170505,175.242767,1716.970641,986.293029,1394.918423,2904.754628,4158.334229,0.000582,0.000240,0.000344,0.000717,0.001014
Wairarapa 2 - Cross Creek North combined (2- 3),-41.170269,175.242127,2340.397102,1261.989851,1832.664505,3712.533953,5231.535606,0.000427,0.000191,0.000269,0.000546,0.000792
Edgecumbe 1987_5294-5308_Combined,-37.992892,176.836865,1236.363636,122.310427,564.412333,2540.085982,6096.242925,0.000809,0.000164,0.000394,0.001772,0.008176
Flaxmore - Waimea - Tahunanui_5507_Wairoa-2 trench,-41.388778,173.152728,2389.138542,808.267534,1415.302927,4472.688582,13635.333378,0.000419,0.000073,0.000224,0.000707,0.001237
Fox Peak_4035_Trench 4,-43.872320,170.828035,2993.197279,1023.796682,1817.671205,5315.472206,13995.369429,0.000334,0.000071,0.000188,0.000550,0.000977
Hope Conway_666-675_Combined,-42.425213,173.292386,278.637001,39.348102,146.738974,427.161251,573.703849,0.003589,0.001743,0.002341,0.006815,0.025414
Hope Hope River_648_Matagouri Flat,-42.686832,172.056509,1248.266297,173.332647,590.894809,2651.605369,9568.023289,0.000801,0.000105,0.000377,0.001692,0.005769
The Humps_5565-5696_Combined ,-42.618360,173.077671,3524.794972,478.425538,1647.409628,7511.499716,25850.773463,0.000284,0.000039,0.000133,0.000607,0.002090
Wairau_5519-5522_Combined Zinke,-41.588269,173.486152,1406.374856,212.836144,753.287877,2145.939020,2910.227198,0.000711,0.000344,0.000466,0.001328,0.004698
Waitawhiti_5369-5379_Combined,-40.662689,176.091516,16363.636364,1196.787870,4139.599977,29393.697341,124306.352291,0.000061,0.000008,0.000034,0.000242,0.000836
Whitemans Valley_1023_Whitemans Valley trench,-41.193101,175.015530,7775.344393,1066.636765,3630.913043,16464.632024,53984.873629,0.000129,0.000019,0.000061,0.000275,0.000938
