along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),slip_deficit (mm/yr),tile_geometry
31,1,-179.63099368920112,-36.37206868593798,-179.77865235908735,-36.61324570042527,6.596238399706462,7.7524967741879065,11.198654765033718,11.406949592347074,"POLYGON Z ((2220626.558172651 5938862.764523469 -11198.65476503372, 2246262.193122439 5923666.113056013 -7752.496774187906, 2261560.112081004 5949472.578825993 -7752.496774187906, 2235924.477131216 5964669.230293449 -11198.65476503372, 2220626.558172651 5938862.764523469 -11198.65476503372))"
31,2,-179.93095034064194,-36.26165997854014,179.92668244893247,-36.50495145745923,14.993133714591506,12.349310444709811,20.110409066146936,11.473144210402047,"POLYGON Z ((2195499.758626197 5951922.530340942 -20110.40906614693, 2220724.977645203 5937658.81155405 -12349.31044470981, 2235491.391893404 5963773.041587703 -12349.31044470981, 2210266.172874398 5978036.760374594 -20110.40906614693, 2195499.758626197 5951922.530340942 -20110.40906614693))"
31,3,179.77211274535196,-36.15616992915886,179.6246170527787,-36.39749811920604,25.318053284985936,18.996287910175557,31.825569176370376,11.538780189046978,"POLYGON Z ((2171031.087863664 5965201.184198158 -31825.56917637038, 2194443.873970042 5951517.21588009 -18996.28791017556, 2209581.880365632 5977417.809741372 -18996.28791017556, 2186169.094259254 5991101.77805944 -31825.56917637038, 2171031.087863664 5965201.184198158 -31825.56917637038))"
32,0,-179.18197625950347,-36.27468543253263,-179.3905038480457,-36.48410952492547,3.0257508340487966,6.695950293463402,8.279493448777139,11.493473083721813,"POLYGON Z ((2260443.826504264 5955922.747017175 -8279.493448777139, 2282198.768889924 5935326.269821502 -6695.950293463402, 2302823.999468119 5957111.582846481 -6695.950293463402, 2281069.057082459 5977708.060042154 -8279.493448777139, 2260443.826504264 5955922.747017175 -8279.493448777139))"
32,1,-179.49303359944096,-36.137407578811526,-179.6587159566841,-36.370532095280616,6.5137531913913,7.773950179988666,11.177201359232958,11.561043862293909,"POLYGON Z ((2234466.862474963 5966644.829731071 -11177.20135923296, 2259080.331731085 5949834.267200658 -7773.950179988666, 2276000.117333051 5974607.657263052 -7773.950179988666, 2251386.648076929 5991418.219793465 -11177.20135923296, 2234466.862474963 5966644.829731071 -11177.20135923296))"
32,2,-179.7955464329737,-36.0178945055362,-179.94103722631368,-36.25974023526944,15.049823317555239,12.334976288058012,20.124743222798735,11.627080829757483,"POLYGON Z ((2209567.883663135 5978639.663451209 -20124.74322279873, 2234598.85823909 5964053.031116078 -12334.97628805801, 2249703.576410825 5989973.052122097 -12334.97628805801, 2224672.60183487 6004559.684457228 -20124.74322279873, 2209567.883663135 5978639.663451209 -20124.74322279873))"
32,3,179.90512116876928,-35.90648992817891,179.76513127710172,-36.150511793134505,25.631334777375,18.92224516489535,31.899611921650582,11.692559137479794,"POLYGON Z ((2185344.115762492 5991211.347194499 -31899.61192165058, 2208996.581236333 5978090.797317705 -18922.24516489535, 2223549.162021162 6004324.790389691 -18922.24516489535, 2199896.696547322 6017445.340266486 -31899.61192165058, 2185344.115762492 5991211.347194499 -31899.61192165058))"
33,0,-179.04921763890184,-36.03554184668725,-179.26682905675966,-36.23828443598246,3.0082723080828147,6.738567274999557,8.312971380299423,11.647754076163498,"POLYGON Z ((2274579.104935499 5983214.484028272 -8312.971380299423, 2295507.147550998 5961777.639950912 -6738.567274999557, 2316973.573046772 5982734.561872663 -6738.567274999557, 2296045.530431273 6004171.405950024 -8312.971380299423, 2274579.104935499 5983214.484028272 -8312.971380299423))"
33,1,-179.35910116524886,-35.89423784109827,-179.5288351737902,-36.1251247939865,6.352982957677185,7.92991703970266,11.249519238694283,11.715156820122607,"POLYGON Z ((2248545.147368649 5993456.966958228 -11249.51923869428, 2272876.255228535 5976223.933808168 -7929.91703970266, 2290215.769360312 6000705.380858413 -7929.91703970266, 2265884.661500426 6017938.414008472 -11249.51923869428, 2248545.147368649 5993456.966958228 -11249.51923869428))"
33,2,-179.66162371304722,-35.77064003531763,-179.8037711068295,-36.01356142717102,14.662259379392172,12.752307645925972,20.345930210655464,11.780901114096679,"POLYGON Z ((2223795.402060477 6004906.017879618 -20345.93021065546, 2248996.436315667 5990510.019518506 -12752.30764592597, 2263877.025639472 6016559.358500067 -12752.30764592597, 2238675.991384281 6030955.35686118 -20345.93021065546, 2223795.402060477 6004906.017879618 -20345.93021065546))"
33,3,-179.96046031947267,-35.657577580254966,179.9071648814747,-35.90418618832487,25.332331063812674,19.586502582147837,32.42254120813605,11.846018116096543,"POLYGON Z ((2199747.874561971 6017178.428554599 -32422.54120813605, 2223752.187606809 6004567.755787552 -19586.50258214784, 2237704.496932058 6031125.863108906 -19586.50258214784, 2213700.18388722 6043736.535875953 -32422.54120813605, 2199747.874561971 6017178.428554599 -32422.54120813605))"
34,0,-178.91866859915126,-35.78282276200617,-179.1271871159903,-35.99124504521806,3.0037966497531814,6.753608343324522,8.325672223949615,11.802068798938897,"POLYGON Z ((2288723.302491807 6008991.283786239 -8325.672223949616, 2310329.560521613 5988238.013463114 -6753.608343324522, 2331111.383727935 6009873.997938547 -6753.608343324522, 2309505.125698129 6030627.268261672 -8325.672223949616, 2288723.302491807 6008991.283786239 -8325.672223949616))"
