along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),slip_deficit (mm/yr),tile_geometry
63,0,-175.87822623672315,-28.240355932041837,-175.94379852641993,-28.50085574661347,4.464968798349522,8.71774280216962,11.053229484078209,40.499070228479496,"POLYGON Z ((2657222.335022087 6806105.339641401 -11053.22948407821, 2685687.854676372 6796926.03178241 -8717.742802169621, 2694895.105454502 6825478.203908338 -8717.742802169621, 2666429.585800217 6834657.511767329 -11053.22948407821, 2657222.335022087 6806105.339641401 -11053.22948407821))"
63,1,-176.15371177906357,-28.139560525723272,-176.22516832413024,-28.399027980002856,8.152135657633295,10.505814140856042,14.759875175933631,40.49907022847952,"POLYGON Z ((2630810.07301698 6820480.933699036 -14759.87517593363, 2658910.730214632 6810875.933450734 -10505.81414085604, 2668613.779422372 6839263.445424702 -10505.81414085604, 2640513.12222472 6848868.445673004 -14759.87517593363, 2630810.07301698 6820480.933699036 -14759.87517593363))"
63,2,-176.42929136271232,-28.03699644502807,-176.50300103878357,-28.296144371583047,16.75355329207672,14.379721534289416,23.0273911226084,40.49907022847952,"POLYGON Z ((2605313.881455389 6834263.787032537 -23027.3911226084, 2632448.485101307 6824833.458529765 -14379.72153428942, 2642296.842024106 6853170.887240238 -14379.72153428942, 2615162.238378188 6862601.215743011 -23027.3911226084, 2605313.881455389 6834263.787032537 -23027.3911226084))"
63,3,-176.69488470126277,-27.937809244006655,-176.7701282259869,-28.196774782843093,26.777700407100177,23.209603397475203,36.725506726645165,40.499070228479496,"POLYGON Z ((2581693.257761594 6847093.423273416 -36725.50672664517, 2606967.147214134 6838230.530453501 -23209.6033974752, 2616894.653575893 6866540.327652302 -23209.6033974752, 2591620.764123353 6875403.220472217 -36725.50672664517, 2581693.257761594 6847093.423273416 -36725.50672664517))"
63,4,-176.93934129289357,-27.84642053208479,-177.0178210199805,-28.104776462539558,33.7246599044883,37.0857367847147,53.741810171054965,40.49907022847953,"POLYGON Z ((2559828.897385463 6859038.581417037 -53741.81017105497, 2583300.555133549 6850573.565061144 -37085.7367847147, 2593478.337057888 6878794.350930793 -37085.7367847147, 2570006.679309802 6887259.367286687 -53741.81017105497, 2559828.897385463 6859038.581417037 -53741.81017105497))"
64,0,-175.8091253944489,-27.977776202032604,-175.87736048620778,-28.23764644017568,4.56705303622865,8.703547138903437,11.092319049579501,40.87577500478984,"POLYGON Z ((2666635.803680812 6835220.591785276 -11092.3190495795, 2695009.146292256 6825773.518280092 -8703.547138903437, 2704486.311401311 6854237.238021119 -8703.547138903437, 2676112.968789867 6863684.311526303 -11092.3190495795, 2666635.803680812 6835220.591785276 -11092.3190495795))"
64,1,-176.08509695487726,-27.875148381336214,-176.15584149834473,-28.134673026946775,8.29045319059089,10.559117337388386,14.884856967020175,40.87577500478984,"POLYGON Z ((2640342.296840692 6849375.823255429 -14884.85696702018, 2668451.963528344 6839829.378086376 -10559.11733738839, 2678099.224226847 6868235.897778431 -10559.11733738839, 2649989.557539195 6877782.342947484 -14884.85696702018, 2640342.296840692 6849375.823255429 -14884.85696702018))"
64,2,-176.3607086409254,-27.771328568883387,-176.4312620637187,-28.031071294494314,16.898585536709124,14.534669758157913,23.255026936546173,40.87577500478987,"POLYGON Z ((2614950.000976069 6862994.178318372 -23255.02693654617, 2642159.407876946 6853850.680804629 -14534.66975815791, 2651715.531544731 6882287.989053583 -14534.66975815791, 2624506.124643854 6891431.486567326 -23255.02693654617, 2614950.000976069 6862994.178318372 -23255.02693654617))"
64,3,-176.62597679353865,-27.671567690021778,-176.69658014820507,-27.93146637998296,27.06451602867934,23.444987957035245,37.094792966573195,40.87577500478984,"POLYGON Z ((2591444.223763654 6875715.954541576 -37094.79296657319, 2616786.725993932 6867263.712004242 -23444.98795703525, 2626278.351248291 6895722.613072815 -23444.98795703525, 2600935.849018012 6904174.855610149 -37094.79296657319, 2591444.223763654 6875715.954541576 -37094.79296657319))"
64,4,-176.8694669927319,-27.580123124454822,-176.94227236332785,-27.839690756651382,34.28076294538096,37.466429192393704,54.36388883417831,40.87577500478984,"POLYGON Z ((2569776.28376109 6887538.107150731 -54363.88883417831, 2593249.516807328 6879570.473373299 -37466.42919239371, 2602892.206842598 6907978.544917908 -37466.42919239371, 2579418.97379636 6915946.178695341 -54363.88883417831, 2569776.28376109 6887538.107150731 -54363.88883417831))"
