along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),slip deficit rate (mm/yr),tile_geometry,,,,
29,1,164.82823175463034,-47.59885447000866,164.7510841503613,-47.722670236245236,17.006792922283427,10.088714317859111,14.475990533894477,6.281013,"POLYGON Z ((999640.9264478873 4691708.575729283 -14475.99053389448, 985904.7785710247 4695840.167300235 -10088.71431785911, 981584.2506872184 4681475.86993471 -10088.71431785911, 995320.3985640811 4677344.278363757 -14475.99053389448, 999640.9264478873 4691708.575729283 -14475.99053389448))"
29,2,164.99128003463454,-47.66271073249322,164.91740956437215,-47.787486768689384,17.100774225074495,14.531100380259783,18.941898989605388,6.290223,"POLYGON Z ((1012681.839245338 4686130.720363421 -18941.89898960539, 998886.9347296362 4690035.264514852 -14531.10038025978, 994801.7820628181 4675602.263174564 -14531.10038025978, 1008596.68657852 4671697.719023133 -18941.89898960539, 1012681.839245338 4686130.720363421 -18941.89898960539))"
29,3,165.1545593495598,-47.726360539102416,165.08412254747068,-47.85208545121333,17.094300120960003,19.006511250196336,23.415689848776616,6.299907,"POLYGON Z ((1025714.669513976 4680558.630219337 -23415.68984877662, 1011854.936757366 4684228.364814802 -19006.51125019634, 1008015.588436489 4669728.040526325 -19006.51125019634, 1021875.3211931 4666058.305930859 -23415.68984877662, 1025714.669513976 4680558.630219337 -23415.68984877662))"
29,4,165.31837121473373,-47.790618009284266,165.25306208263376,-47.91763821271867,17.02197595623403,23.072322913553627,27.463400062068043,6.310362,"POLYGON Z ((1038795.548301441 4675018.659676825 -27463.40006206804, 1024840.430538089 4678331.231138209 -23072.32291355363, 1021376.095372029 4663736.767055647 -23072.32291355363, 1035331.213135381 4660424.195594262 -27463.40006206804, 1038795.548301441 4675018.659676825 -27463.40006206804))"
29,5,165.4845962280992,-47.85499571929247,165.4234764301935,-47.982998187651376,16.833369185414806,26.68149470149544,31.02533409397387,6.321221,"POLYGON Z ((1052012.167199997 4669382.368997951 -31025.33409397387, 1037978.084986715 4672411.493584893 -26681.49470149544, 1034813.354887482 4657749.144407527 -26681.49470149544, 1048847.437100764 4654720.019820585 -31025.33409397387, 1052012.167199997 4669382.368997951 -31025.33409397387))"
29,6,165.6489673609974,-47.91724477374929,165.58996330093285,-48.04573341439217,17.96089598213902,31.46608285524705,36.091600338553256,6.331967,"POLYGON Z ((1064900.340826327 4663808.693618522 -36091.60033855325, 1050924.69575431 4666687.22324884 -31466.08285524705, 1047898.700913476 4651995.614922206 -31466.08285524705, 1061874.345985494 4649117.085291888 -36091.60033855325, 1064900.340826327 4663808.693618522 -36091.60033855325))"
30,0,164.56880756195525,-47.66073096106271,164.5069691910544,-47.788384194314844,17.446082731086687,5.9464478571651815,10.443570655311396,6.331978,"POLYGON Z ((981181.7069685539 4683940.379939747 -10443.5706553114, 967175.0724551758 4686871.263108185 -5946.447857165182, 964102.8662748424 4672189.24862837 -5946.447857165182, 978109.5007882206 4669258.365459931 -10443.5706553114, 981181.7069685539 4683940.379939747 -10443.5706553114))"
30,1,164.73137848044317,-47.72522686173575,164.6735117289918,-47.85376670091949,17.095198475247074,10.3847310102237,14.794134406763845,6.340791,"POLYGON Z ((994225.9334055778 4678368.737624415 -14794.13440676385, 980138.4786214633 4681033.46638962 -10384.7310102237, 977350.5736716132 4666294.82377944 -10384.7310102237, 991438.0284557277 4663630.095014236 -14794.13440676385, 994225.9334055778 4678368.737624415 -14794.13440676385))"
30,2,164.893967926298,-47.79027117409514,164.84202637500084,-47.91999328364387,16.898965893518746,14.598229693177963,18.95850355978901,6.350370,"POLYGON Z ((1007254.585458456 4672854.622548496 -18958.50355978901, 993080.3570097619 4675108.343847234 -14598.22969317796, 990724.9254207056 4660294.433423944 -14598.22969317796, 1004899.1538694 4658040.712125206 -18958.50355978901, 1007254.585458456 4672854.622548496 -18958.50355978901))"
30,3,165.05985814170432,-47.85548498288912,165.0123781113904,-47.986014805653255,17.028562630127443,18.191915523533638,22.584641489208728,6.360290,"POLYGON Z ((1020450.528928069 4667214.028671886 -22584.64148920873, 1006241.231741177 4669163.344460841 -18191.91552353364, 1004202.537318345 4654302.532738385 -18191.91552353364, 1018411.834505237 4652353.216949429 -22584.64148920873, 1020450.528928069 4667214.028671886 -22584.64148920873))"
30,4,165.22606526063942,-47.9200742791122,165.18227731240276,-48.051219160336515,17.1308703364258,21.88622548165492,26.30455428118992,6.370528,"POLYGON Z ((1033621.317877578 4661558.764451228 -26304.55428118992, 1019388.404846822 4663262.453765078 -21886.22548165492, 1017605.621363897 4648368.774466362 -21886.22548165492, 1031838.534394654 4646665.085152511 -26304.55428118992, 1033621.317877578 4661558.764451228 -26304.55428118992))"
30,5,165.38980658551,-47.983255878142195,165.34945924645558,-48.11492781820016,17.069965827014414,26.56040417304779,30.963493114147692,6.381008,"POLYGON Z ((1046568.840834158 4655992.8873266 -30963.49311414769, 1032306.11773432 4657471.91996793 -26560.40417304779, 1030758.926714865 4642551.926672043 -26560.40417304779, 1045021.649814703 4641072.894030713 -30963.49311414769, 1046568.840834158 4655992.8873266 -30963.49311414769))"
30,6,165.56332518203422,-48.045634057264365,165.51810164274664,-48.17662421630383,18.202771956659856,30.04218169941617,34.72789486306311,6.391008,"POLYGON Z ((1060043.146755224 4649966.538167212 -34727.89486306311, 1045914.123092492 4651814.45117544 -30042.18169941617, 1043968.863332854 4636941.120530708 -30042.18169941617, 1058097.886995587 4635093.20752248 -34727.89486306311, 1060043.146755224 4649966.538167212 -34727.89486306311))"
31,0,164.4744354588066,-47.788680698809074,164.4325875716799,-47.91998019330888,17.453541790397438,4.669746994122217,9.168732702594884,6.391874,"POLYGON Z ((975909.9026146398 4670453.138195143 -9168.732702594883, 961672.4751550285 4671886.590994248 -4669.746994122217, 960169.8418143063 4656962.044333014 -4669.746994122217, 974407.2692739177 4655528.591533909 -9168.732702594883, 975909.9026146398 4670453.138195143 -9168.732702594883))"
31,1,164.63731517924248,-47.85399331647705,164.600704773306,-47.98603194677153,17.30124256240666,8.470154716735122,12.9310884125244,6.400841,"POLYGON Z ((988929.2553600714 4664897.46206966 -12931.0884125244, 974648.5730092064 4665975.507595352 -8470.154716735122, 973519.4390853836 4651018.066083446 -8470.154716735122, 987800.1214362485 4649940.020557755 -12931.0884125244, 988929.2553600714 4664897.46206966 -12931.0884125244))"
31,2,164.8018884296721,-47.91677953484503,164.76469413607452,-48.04877568854508,17.039715838017283,13.160883856228322,17.5564016298583,6.409358,"POLYGON Z ((1001986.816193031 4659184.227064369 -17556.4016298583, 987691.2681750871 4660331.715786911 -13160.88385622832, 986491.0940432593 4645379.806810018 -13160.88385622832, 1000786.642061203 4644232.318087476 -17556.4016298583, 1001986.816193031 4659184.227064369 -17556.4016298583))"
31,3,164.968500014803,-47.98111195857182,164.93316443238177,-48.11336876103584,17.00216684247726,17.0681146009941,21.45423265938068,6.418811,"POLYGON Z ((1015181.672693572 4653466.184893779 -21454.23265938068, 1000874.928643828 4654504.954874584 -17068.1146009941, 999788.6828777513 4639544.337569951 -17068.1146009941, 1014095.426927495 4638505.567589145 -21454.23265938068, 1015181.672693572 4653466.184893779 -21454.23265938068))"
31,4,165.13476083189647,-48.044378584185196,165.10021566090032,-48.17675879154836,17.188876519815935,21.370548889861986,25.803387671436205,6.428479,"POLYGON Z ((1028284.862227703 4647759.289509182 -25803.3876714362, 1013990.228389676 4648765.959153756 -21370.54888986199, 1012936.494515363 4633803.016765238 -21370.54888986199, 1027231.12835339 4632796.347120664 -25803.3876714362, 1028284.862227703 4647759.289509182 -25803.3876714362))"
31,5,165.30408572099196,-48.10887759667943,165.27123326410222,-48.24147991153188,17.11722396200131,24.7092157960805,29.12413035877446,6.438925,"POLYGON Z ((1041624.146760826 4641973.626849084 -29124.13035877446, 1027317.597044221 4642885.309145942 -24709.2157960805, 1026363.659690405 4627915.673094087 -24709.2157960805, 1040670.209407011 4627003.990797229 -29124.13035877446, 1041624.146760826 4641973.626849084 -29124.13035877446))"
31,6,165.4756127729849,-48.16912782239764,165.4350694405527,-48.30080461041308,18.58034564783622,29.312865172923555,34.09237779114106,6.448239,"POLYGON Z ((1054872.128616218 4635982.15344459 -34092.37779114106, 1040731.372245397 4637463.797259204 -29312.86517292355, 1039168.255285756 4622545.464062413 -29312.86517292355, 1053309.011656577 4621063.820247799 -34092.37779114106, 1054872.128616218 4635982.15344459 -34092.37779114106))"
32,0,164.42588310561044,-47.92810294246422,164.39060697155256,-48.06027862150767,17.62153398261245,5.1890876641023755,9.73000939684594,6.451630,"POLYGON Z ((974035.9984126416 4655069.252745556 -9730.009396845941, 959770.4591771781 4656004.357091899 -5189.087664102375, 958789.3166383848 4641036.479509603 -5189.087664102375, 973054.8558738483 4640101.37516326 -9730.009396845941, 974035.9984126416 4655069.252745556 -9730.009396845941))"
32,1,164.59567080015242,-47.99315859362713,164.55970669192774,-48.1252832228575,17.466397105471707,8.44672038309757,12.948916545233493,6.460030,"POLYGON Z ((987503.6782063314 4649173.652888851 -12948.91654523349, 973231.1190928977 4650185.723079692 -8446.72038309757, 972170.1300333318 4635223.293390116 -8446.72038309757, 986442.6891467655 4634211.223199275 -12948.91654523349, 987503.6782063314 4649173.652888851 -12948.91654523349))"
