%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId, parentSectionId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
404,83,4,3,5
405,83,0.2,0.1,0.3
406,84,0.5,0.2,0.8
407,84,2,1,3
408,84,0.2,0.1,0.3
409,84,4,2.5,5.5
410,84,1.5,0.5,2.5
411,85,5,3,7
412,85,1,0.5,1.5
413,85,1.5,0.5,2.5
414,86,0.37,0.099229,0.75898
415,86,0.29,0.073542,0.69283
416,87,0.705,0.19238,1.4147
417,87,0.465,0.13802,1.29
418,87,0.405,0.12572,1.3334
419,87,0.345,0.11342,1.3768
420,88,0.3,0.1,0.5
421,88,0,0,0
422,88,0,0,0
423,88,0,0,0
424,88,0,0,0
425,88,1.5,0.5,2.5
426,88,1.5,0.5,2.5
427,88,1,0.5,1.5
428,88,0,0,0
429,89,2,1,3
430,89,0,0,0
431,90,1,0.5,1.5
432,90,0,0,0
433,91,0.37,0.13164,0.76593
434,91,0.362,0.09502,0.73862
435,91,0.36,0.091987,0.74213
436,91,0.33,0.1116,0.74629
437,92,1.5,0.79388,6.9938
438,92,1.4333,0.76736,6.7163
439,92,1.3,0.71433,6.1611
440,92,0.85,0.56383,4.9253
441,92,0.85,0.56383,4.9253
442,93,0.15,0.033409,2.9732
443,93,0.15,0.033409,2.9732
444,93,0.25,0.14052,2.6016
445,93,0.25,0.14052,2.6016
446,94,6.275,4.9261,7.5055
447,94,6.625,4.9433,7.8224
448,94,5.475,3.9673,6.9545
449,94,5.0417,3.5029,6.3926
450,94,3.875,2.5074,5.4376
451,95,1.4625,0.91983,3.754
452,95,1.6625,1.1598,3.9956
453,95,1.85,1.3665,4.4149
454,95,2.75,2.1787,5.319
455,95,2.75,2.1787,5.319
456,95,3.85,3.0613,6.1581
457,96,8.725,7.5764,10.485
458,96,8.525,7.469,9.9778
459,96,8.225,7.0884,9.5646
460,96,6.575,5.5252,8.4833
461,96,6.225,5.3117,7.7358
462,96,4.3583,3.5618,6.0782
463,96,2.125,1.3473,3.7989
464,97,1.095,0.61548,2.0786
465,97,1.085,0.46458,1.9605
466,97,1.075,0.31367,1.8425
467,98,1.185,0.5214,1.5746
468,98,1.185,0.5214,1.5746
469,99,0.7,0.30971,6.7373
470,99,0.7,0.30971,6.7373
471,100,4.9,3.3098,12.117
472,100,4.9,3.3098,12.117
473,101,0.65,0.41304,4.3605
474,101,0.65,0.41304,4.3605
475,102,0.725,0.29535,2.776
476,102,0.475,0.16875,2.1793
477,102,0.575,0.25658,2.5959
478,103,0.45,0.15195,3.2402
479,103,0.35,0.12893,2.8758
480,104,3.2,2.1701,9.0401
481,104,2.9,1.997,8.3328
482,104,0.9,0.41717,6.3342
483,105,0.625,0.19843,2.2938
484,105,1.975,1.2077,3.5489
485,105,1.975,1.2077,3.5489
486,106,0.49,0.14933,0.77064
487,106,0.41,0.12835,0.74828
488,107,0.875,0.49071,3.1856
489,107,0.875,0.41184,3.1113
490,107,1.075,0.58891,3.3007
491,108,0.25,0.093967,4.0272
492,108,0.9,0.44618,5.6361
493,108,0.46667,0.21193,4.8186
494,108,0.25,0.094808,4.4098
495,109,1.15,0.46548,4.6344
496,109,1.15,0.46548,4.6344
497,110,0.46,0.16759,0.78333
498,110,0.50333,0.20318,0.79596
499,110,0.478,0.18821,0.7885
500,111,2.225,1.3334,3.6249
501,111,2.825,1.8332,4.2946
502,111,3.065,2.007,4.6598
503,111,3.125,2.0177,4.8728
504,112,0.525,0.38411,2.2986
505,112,0.225,0.075151,2.1358
506,112,0.325,0.17635,2.1861
507,112,0.6125,0.35942,2.6741
508,112,0.85,0.49188,3.1368
509,113,1.15,0.78825,3.6735
510,113,1.15,0.78825,3.6735
511,114,0.61667,0.23026,3.6568
512,114,0.8,0.37319,4.2733
513,114,1.05,0.49446,4.7314
514,115,0.055,0.021066,0.086007
515,115,0.075,0.020221,0.093003
516,115,0.095,0.019376,0.1
517,116,0.125,0.042166,2.0857
518,116,0.225,0.068771,2.3233
519,116,0.5375,0.19616,2.8196
520,116,0.8,0.32147,3.1262
521,116,0.85,0.346,3.1742
522,116,0.275,0.10221,2.4677
523,117,0.275,0.11362,2.0919
524,117,0.275,0.11362,2.0919
525,118,0.225,0.073196,2.3876
526,118,0.225,0.073196,2.3876
527,119,0.47,0.19335,0.808
528,119,0.49,0.19941,0.8235
529,120,0.44,0.16432,0.77657
530,120,0.48,0.17772,0.79028
531,120,0.49,0.1763,0.79704
532,121,1.0167,0.42327,3.9071
533,121,0.6,0.21501,3.4001
