%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId, parentSectionId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
207,25,1.175,0.50459,2.5338
208,25,1.075,0.47925,2.6151
209,25,0.975,0.4539,2.6964
210,25,1.325,0.77613,3.1005
211,26,0.41,0.13676,1.0178
212,26,0.38,0.12978,0.97316
213,26,0.37,0.12105,0.92194
214,26,0.39,0.11931,0.91532
215,26,0.35,0.12123,0.90363
216,26,1.7,1.3,2.1
217,26,0.5,0.3,0.7
218,26,1.8,1.3,2.3
219,26,1.8,1.3,2.3
220,26,0.6,0.2,1
221,26,0.23,0.2,0.42
222,26,1.9,1.4,2.4
223,26,0.8,0.5,1.1
224,26,1.3,0.9,1.7
225,26,0.8,0.5,1.1
226,26,1.8,1.3,2.3
227,26,0.6,0.3,0.9
228,26,0.18,0.15,0.33
229,27,0.17,0.14,0.31
230,27,0.14,0.11,0.17
231,27,0.21,0.18,0.24
232,27,0.5,0.4,0.6
233,27,0.7,0.5,1
234,27,0.2,0.1,0.5
235,27,0,0,0
236,27,0.48,0.38,0.59
237,27,2.9,2.1,3.8
238,27,0,0,0
239,27,0.29,0.25,0.33
240,27,0.25,0.087589,0.81767
241,27,0.26,0.0867,0.82917
242,27,0.27,0.085811,0.84066
243,27,0.25,0.079729,0.78331
244,27,0.31,0.091826,0.83798
245,27,0.31,0.091826,0.83798
246,28,0.125,0.048985,1.6782
247,28,0.125,0.048985,1.6782
248,29,0.0975,0.032383,0.16082
249,29,0.0975,0.032383,0.16082
250,30,0.3,0.088522,5.1379
251,30,0.3,0.084759,5.3838
252,30,0.3,0.080995,5.6297
253,31,0.15,0.054655,4.5138
254,31,0.25,0.081546,4.7289
255,31,0.1,0.050245,4.5883
256,32,0.425,0.11788,2.5333
257,32,0.4,0.1,0.72
258,33,0.7,0.3,1.13
259,33,0.55,0.4,0.72
260,33,0.25,0.1,0.4
261,34,0.25,0.1,0.4
262,34,0.7,0.5,0.9
263,34,0.7,0.5,0.9
264,35,1.1,0.7,1.5
265,35,1.1,0.7,1.5
266,35,1.1,0.7,1.5
267,35,0.48,0.13568,1.4125
268,35,0.42,0.14185,1.3958
269,35,0.465,0.16042,1.3816
270,36,0.41,0.14326,1.0645
271,36,0.41,0.14326,1.0645
272,36,0.41,0.14326,1.0645
273,36,0.41,0.14326,1.0645
274,36,0.41,0.14326,1.0645
275,36,0.41,0.13242,0.95807
276,36,0.41,0.13242,0.95807
277,36,0.41,0.13242,0.95807
278,36,0.41,0.13242,0.95807
279,36,0.43,0.13143,1.0087
280,36,0.43,0.13143,1.0087
281,36,6,4.5,7.5
282,36,12.1,9.1,15
283,36,11,8,12
284,37,11,8,12
285,37,6.3,4.4,8.2
286,37,6.9,5,8.8
287,37,5.5,3.4,7.6
288,37,0.47,0.13601,0.97042
289,37,0.47,0.13601,0.97042
290,37,0.47,0.13601,0.97042
291,37,0.47,0.13601,0.97042
292,37,0.37,0.13068,0.93775
293,37,0.37,0.13068,0.93775
294,37,0.37,0.13068,0.93775
295,37,0.37,0.13068,0.93775
296,37,0.37,0.13068,0.93775
297,37,0.43,0.13368,0.96252
298,37,0.43,0.13368,0.96252
299,37,0.43,0.13368,0.96252
300,37,0.44,0.13619,0.96214
301,37,0.45,0.13869,0.96177
302,37,0.45,0.13869,0.96177
303,37,0.45,0.13869,0.96177
304,37,0.45,0.13869,0.96177
305,37,0.44,0.14486,0.9976
306,37,0.43,0.15102,1.0334
307,37,0.43,0.15102,1.0334
308,37,0.43,0.15102,1.0334
309,37,0.43,0.15102,1.0334
310,38,0.43,0.15023,1.042
311,38,0.43,0.15023,1.042
312,38,0.43,0.15023,1.042
313,38,0.43,0.15023,1.042
314,38,0.41,0.13476,0.95334
315,38,0.41,0.13476,0.95334
316,38,0.41,0.13476,0.95334
317,38,0.41,0.13476,0.95334
318,38,0.705,0.31738,1.2267
319,38,2.5,1.5,3.5
320,38,1.5,1,2
321,38,3.5,2.5,4.5
322,38,5,4,6
323,38,1.5,1,2
324,38,0,0,0
325,38,0.2,0.1,0.3
326,38,0.6,0.3,0.9
327,38,0.1,0.05,0.15
328,38,2.5,1.5,3.5
329,38,1.4,0.6,2.4
330,38,1.5,1,2
331,38,1.5,1,2
332,38,0.37,0.13908,0.98245
333,38,0.39,0.13853,0.9639
334,38,0.39,0.13853,0.9639
335,38,0.39,0.13853,0.9639
336,38,0.39,0.13853,0.9639
337,38,0.41,0.14228,0.986
338,38,0.41,0.14228,0.986
339,38,0.41,0.14228,0.986
340,38,0.41,0.14228,0.986
341,38,0.41,0.14228,0.986
342,38,0.43,0.14887,1.0487
343,38,0.43,0.14887,1.0487
344,38,0.43,0.14887,1.0487
345,38,0.43,0.14887,1.0487
346,38,0.43,0.14887,1.0487
347,39,1.85,1.6667,6.181
348,39,1.85,1.6667,6.181
349,39,3.3,1.8144,6.1742
350,39,4.75,1.962,6.1674
351,39,4.75,1.962,6.1674
352,39,5.05,2.0633,6.2382
353,39,5.05,2.0633,6.2382
354,39,5.75,3.2283,6.594
355,39,5.75,3.2283,6.594
356,39,5.05,2.5077,6.3083
357,39,5.05,2.5077,6.3083
358,39,5.05,2.5077,6.3083
359,39,4.55,1.9084,6.4136
360,39,4.55,1.9084,6.4136
361,40,3.05,0.97609,4.0071
362,40,3.05,0.97609,4.0071
363,40,2.85,1.0197,4.3824
364,40,2.85,1.0197,4.3824
365,41,3.45,2.9512,5.9366
366,41,3.45,2.9512,5.9366
367,41,4.275,3.7305,6.1803
368,41,4.275,3.7305,6.1803
369,41,5.175,4.3465,6.2882
370,41,5.275,4.5162,6.2686
371,41,5.375,4.686,6.2489
372,41,5.715,5.0534,6.3864
373,41,5.57,4.8515,6.3144
374,41,5.425,4.6496,6.2425
375,41,5.45,4.6994,6.2519
376,41,5.475,4.7492,6.2613
377,41,5.625,4.8968,6.3667
378,41,5.575,4.7363,6.3155
379,41,5.525,4.5757,6.2643
380,41,5.325,4.4887,6.2822
381,41,5.125,4.4017,6.3001
382,42,0.43,0.15208,1.0225
383,42,0.41,0.14379,0.99828
384,42,0.39,0.1355,0.97408
385,42,0.39,0.13315,0.969
386,42,0.39,0.13079,0.96391
387,42,0.39,0.13079,0.96391
388,42,0.45,0.13627,0.96085
389,42,0.45,0.13627,0.96085
390,42,0.45,0.13627,0.96085
