%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId, parentSectionId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
404,83,4,3,5
405,83,0.2,0.1,0.3
406,84,0.5,0.2,0.8
407,84,2,1,3
408,84,0.2,0.1,0.3
409,84,4,2.5,5.5
410,84,1.5,0.5,2.5
411,85,5,3,7
412,85,1,0.5,1.5
413,85,1.5,0.5,2.5
414,86,0.37,0.13791,0.71078
415,86,0.318,0.084922,0.64738
416,87,0.39,0.13059,0.93116
417,87,0.39,0.11778,0.95025
418,87,0.4275,0.12084,1.0134
419,87,0.465,0.1239,1.0766
420,88,0.3,0.1,0.5
421,88,0,0,0
422,88,0,0,0
423,88,0,0,0
424,88,0,0,0
425,88,1.5,0.5,2.5
426,88,1.5,0.5,2.5
427,88,1,0.5,1.5
428,88,0,0,0
429,89,2,1,3
430,89,0,0,0
431,90,1,0.5,1.5
432,90,0,0,0
433,91,0.35,0.095092,0.68477
434,91,0.303,0.089297,0.64172
435,91,0.3,0.08763,0.64324
436,91,0.29,0.095087,0.65768
437,92,2.275,0.95285,3.6755
438,92,1.8917,0.84358,3.4797
439,92,1.125,0.62503,3.0881
440,92,0.825,0.52336,2.917
441,92,0.825,0.52336,2.917
442,93,0.13,0.046651,0.87819
443,93,0.13,0.046651,0.87819
444,93,0.45,0.20469,0.93683
445,93,0.45,0.20469,0.93683
446,94,4.75,2.6386,5.4657
447,94,5.65,2.6752,6.3928
448,94,4.225,2.6588,4.9999
449,94,4.0583,2.4838,4.8788
450,94,3.525,2.5229,4.4936
451,95,2.3375,1.6889,4.3606
452,95,2.3875,1.774,4.4502
453,95,2.45,1.881,4.6219
454,95,3.625,2.5315,4.7128
455,95,3.625,2.5315,4.7128
456,95,3.725,2.8063,4.6486
457,96,5.65,2.6969,6.8246
458,96,5.55,2.6224,6.6215
459,96,5.45,2.7177,7.0709
460,96,4.25,2.7155,6.2754
461,96,4.25,2.522,7.1589
462,96,3.1833,2.0519,5.5494
463,96,1.85,1.0663,3.9097
464,97,0.765,0.29014,1.3044
465,97,0.6475,0.23693,1.2028
466,97,0.53,0.18373,1.1013
467,98,0.555,0.17641,1.2471
468,98,0.555,0.17641,1.2471
469,99,0.925,0.46382,2.7087
470,99,0.925,0.46382,2.7087
471,100,2.225,1.1198,3.3272
472,100,2.225,1.1198,3.3272
473,101,0.725,0.36447,2.624
474,101,0.725,0.36447,2.624
475,102,0.49,0.16644,1.0827
476,102,0.27,0.10491,0.93792
477,102,0.45,0.14348,1.0281
478,103,0.375,0.13425,1.627
479,103,0.35,0.099162,0.87686
480,104,1.6625,0.55713,3.2133
481,104,2.075,0.48363,3.0568
482,104,0.575,0.20532,2.7773
483,105,0.255,0.069942,1.0625
484,105,0.465,0.20703,1.5519
485,105,0.465,0.20703,1.5519
486,106,0.39,0.12588,0.71394
487,106,0.41,0.14119,0.74492
488,107,0.675,0.29485,1.2906
489,107,0.555,0.23447,1.5436
490,107,0.555,0.24481,1.6502
491,108,0.425,0.15416,1.6414
492,108,0.925,0.30739,2.0434
493,108,0.45833,0.15837,1.7438
494,108,0.225,0.083853,1.594
495,109,0.43,0.1372,1.0584
496,109,0.43,0.1372,1.0584
497,110,0.42,0.15058,0.76091
498,110,0.46333,0.17161,0.76463
499,110,0.398,0.14736,0.74025
500,111,0.735,0.31691,1.5719
501,111,0.78,0.32166,1.6763
502,111,0.827,0.33279,1.926
503,111,0.875,0.3471,2.2484
504,112,0.75,0.37542,1.2765
505,112,0.375,0.12815,1.5173
506,112,0.50833,0.26677,1.7408
507,112,0.775,0.41963,2.2331
508,112,0.975,0.50319,2.6138
509,113,1.85,1.1569,5.2332
510,113,1.85,1.1569,5.2332
511,114,0.575,0.22699,1.2436
512,114,0.69,0.26825,1.2957
513,114,0.765,0.31274,1.3508
514,115,0.051,0.017526,0.082479
515,115,0.05,0.017416,0.082108
516,115,0.049,0.017307,0.081737
517,116,0.375,0.10091,1.1264
518,116,0.45,0.13028,1.3471
519,116,0.705,0.24093,1.494
520,116,0.855,0.33016,1.5614
521,116,0.825,0.33812,1.7027
522,116,0.925,0.14577,1.5665
523,117,0.285,0.089714,1.3364
524,117,0.285,0.089714,1.3364
525,118,0.165,0.04945,1.1382
526,118,0.165,0.04945,1.1382
527,119,0.53,0.18815,0.82863
528,119,0.45,0.16441,0.79351
529,120,0.36,0.13627,0.73433
530,120,0.39,0.14533,0.7464
531,120,0.43667,0.15154,0.75263
532,121,0.695,0.26341,1.4584
533,121,0.51,0.193,1.2838
