%slip deficit rates, uniform stddev and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId,parentSectionId,slip deficit rate (most probable rate),uniform stddev,lower 95 confidence level,upper 95 confidence level
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
190,24,7.875,1.4216000000000002,6.4996,9.3428
191,24,7.125,1.3729000000000005,5.8385,8.5843
192,24,5.875,1.3010000000000002,4.7085,7.3105
193,24,5.375,1.2778999999999998,4.2396,6.7954
194,24,3.175,1.4069,2.337,5.1508
195,24,3.225,1.2892000000000001,1.9243,4.5027
196,24,4.475,1.2255000000000003,3.356,5.807
197,24,5.175,1.4731,4.0965,7.0427
198,24,5.175,1.4731,4.0965,7.0427
199,24,5.375,1.2311999999999999,4.1641,6.6265
200,24,5.375,1.2311999999999999,4.1641,6.6265
201,24,4.775,1.1946500000000002,3.5763,5.9656
202,24,4.4,1.25385,3.1018,5.6095
203,25,0.25,1.5372649999999999,0.10807,3.1826
204,25,0.31667,1.6404999999999998,0.1306,3.4116
205,25,0.45,1.84697,0.17566,3.8696
206,25,0.8,2.092205,0.43529,4.6197
207,25,1.15,2.3374950000000005,0.69491,5.3699
208,25,0.95,2.365225,0.50225,5.2327
209,25,0.75,2.3930000000000002,0.3096,5.0956
210,25,1.5,2.90275,0.7976,6.6031
211,26,2.15,2.4345999999999997,0.546,5.4152
212,26,2.7,2.50313,0.51584,5.5221
213,26,3.15,2.30952,0.49106,5.1101
214,26,3.05,2.04733,0.49644,4.5911
215,26,2.125,2.519335,0.61733,5.656
216,26,2.075,2.4103849999999998,0.63423,5.455
217,26,2.2,2.085735,0.58603,4.7575
218,26,2.55,1.9334299999999998,0.63444,4.5013
219,26,2.05,2.4934849999999997,0.52563,5.5126
220,26,2.25,2.3121400000000003,0.54062,5.1649
221,26,1.95,2.13449,0.55572,4.8247
222,26,1.9833,2.0855449999999998,0.54861,4.7197
223,26,2.85,1.9804349999999997,0.70623,4.6671
224,26,3.05,2.1448150000000004,0.38287,4.6725
225,26,1.65,2.572795,0.51271,5.6583
226,26,2.95,2.225085,0.45933,4.9095
227,26,2.95,2.225085,0.45933,4.9095
228,26,3.15,2.04767,0.53216,4.6275
229,27,2.15,2.623625,0.89935,6.1466
230,27,2.5,2.41913,0.89594,5.7342
231,27,2.85,2.214635,0.89253,5.3218
232,27,3.35,2.17932,0.79066,5.1493
233,27,4.35,2.6315100000000005,0.90528,6.1683
234,27,4.3,2.523435,0.87223,5.9191
235,27,4.25,2.415365,0.83917,5.6699
236,27,4.25,2.415365,0.83917,5.6699
237,27,4.3,2.550815,0.72817,5.8298
238,27,3.825,2.485425,0.80755,5.7784
239,27,3.35,2.4200350000000004,0.88693,5.727
240,27,3.55,2.5541650000000002,0.72997,5.8383
241,27,2.9,2.28658,0.87244,5.4456
242,27,2.25,2.019,1.0149,5.0529
243,27,2.95,2.367355,0.99879,5.7335
244,27,2.75,2.74315,1.0191,6.5054
245,27,2.75,2.74315,1.0191,6.5054
246,28,0.225,0.7689345,0.079531,1.6174
247,28,0.225,0.7689345,0.079531,1.6174
248,29,0.0915,0.06406099999999999,0.032148,0.16027
249,29,0.0915,0.06406099999999999,0.032148,0.16027
250,30,0.45,2.10809,0.16622,4.3824
251,30,0.75,2.143665,0.31637,4.6037
252,30,1.05,2.17919,0.46652,4.8249
253,31,0.65,2.2484699999999997,0.29306,4.79
254,31,0.91667,2.2571499999999998,0.4275,4.9418
255,31,0.35,1.5242099999999998,0.10618,3.1546
256,32,0.9,3.7592299999999996,0.31994,7.8384
257,32,0.7,3.3860799999999998,0.24044,7.0126
258,33,0.35,1.54958,0.14874,3.2479
259,33,0.35,1.3301349999999998,0.11163,2.7719
260,33,0.35,1.3301349999999998,0.11163,2.7719
261,34,0.55,0.35507,0.19321,0.90335
262,34,0.535,0.35931500000000005,0.18073,0.89936
263,34,0.53,0.360725,0.17658,0.89803
264,35,0.45,1.4973649999999998,0.19797,3.1927
265,35,0.35,1.50558,0.14094,3.1521
266,35,0.48333,1.80819,0.17702,3.7934
267,35,0.35,1.7162,0.127,3.5594
268,35,0.25,1.6836134999999999,0.087873,3.4551
269,35,0.25,1.6939924999999998,0.085615,3.4736
270,36,2.7,3.55199,0.85462,7.9586
271,36,2.7,3.55199,0.85462,7.9586
272,36,2.7,3.55199,0.85462,7.9586
273,36,2.7,3.55199,0.85462,7.9586
274,36,2.7,3.55199,0.85462,7.9586
275,36,4.9,3.518195,0.86501,7.9014
276,36,4.9,3.518195,0.86501,7.9014
277,36,4.9,3.518195,0.86501,7.9014
278,36,4.9,3.518195,0.86501,7.9014
279,36,2.9,3.6269,0.6179,7.8717
280,36,2.9,3.6269,0.6179,7.8717
281,36,2.9,3.6269,0.6179,7.8717
282,36,2.9,3.6269,0.6179,7.8717
283,36,2.9,3.6269,0.6179,7.8717
284,37,1.5,3.503715,0.32477,7.3322
285,37,1.5,3.503715,0.32477,7.3322
286,37,1.5,3.503715,0.32477,7.3322
287,37,1.5,3.503715,0.32477,7.3322
288,37,1.5,4.281738,0.069124,8.6326
289,37,1.5,4.281738,0.069124,8.6326
290,37,1.5,4.281738,0.069124,8.6326
291,37,1.5,4.281738,0.069124,8.6326
292,37,1.3,3.9604950000000003,0.55511,8.4761
293,37,1.3,3.9604950000000003,0.55511,8.4761
294,37,1.3,3.9604950000000003,0.55511,8.4761
295,37,1.3,3.9604950000000003,0.55511,8.4761
296,37,1.3,3.9604950000000003,0.55511,8.4761
297,37,3.15,4.26675,0.3012,8.8347
298,37,3.15,4.26675,0.3012,8.8347
299,37,3.15,4.26675,0.3012,8.8347
300,37,2.625,4.18884,0.27412,8.6518
301,37,2.1,4.110875,0.24705,8.4688
302,37,2.1,4.110875,0.24705,8.4688
303,37,2.1,4.110875,0.24705,8.4688
304,37,2.1,4.110875,0.24705,8.4688
305,37,1.5,4.008215,0.40267,8.4191
306,37,0.9,3.9055000000000004,0.5583,8.3693
307,37,0.9,3.9055000000000004,0.5583,8.3693
308,37,0.9,3.9055000000000004,0.5583,8.3693
