along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),tile_geometry
16,5,176.43242418719421,-40.212512833818536,176.2427372823085,-40.440173734911625,13.565153849793093,16.41384447115849,23.45037274192527,"POLYGON Z ((1851056.987132272 5534930.903128698 -23450.37274192527, 1875037.115290293 5518334.49618564 -16413.84447115849, 1892109.784318486 5543002.774849823 -16413.84447115849, 1868129.656160465 5559599.181792881 -23450.37274192527, 1851056.987132272 5534930.903128698 -23450.37274192527))"
16,6,176.167230367492,-40.05427498016964,175.96771909871455,-40.276769226512734,20.319029422286405,23.561979555950266,33.97939345001207,"POLYGON Z ((1829703.116617527 5554033.22962528 -33979.39345001207, 1852316.628814173 5537296.845490947 -23561.97955595027, 1870163.56236594 5561410.886272176 -23561.97955595027, 1847550.050169294 5578147.270406509 -33979.39345001207, 1829703.116617527 5554033.22962528 -33979.39345001207))"
16,7,175.9132719508104,-39.90112066352875,175.70479355116206,-40.11850367664915,24.66807660050449,34.22090987173152,46.74173437849346,"POLYGON Z ((1809075.422021818 5572447.23990375 -46741.73437849346, 1830495.445871549 5555582.73481324 -34220.90987173152, 1849053.547366025 5579153.83722532 -34220.90987173152, 1827633.523516293 5596018.342315829 -46741.73437849346, 1809075.422021818 5572447.23990375 -46741.73437849346))"
17,0,178.01041961613643,-40.78922624095974,177.8888040980776,-41.04262914736653,6.648307046747719,4.005126996048701,7.478366166825071,"POLYGON Z ((1983582.001940789 5456746.501089499 -7478.366166825072, 2010960.150320052 5444983.270198895 -4005.126996048701, 2022803.018493884 5472546.769131673 -4005.126996048701, 1995424.870114621 5484310.000022277 -7478.366166825072, 1983582.001940789 5456746.501089499 -7478.366166825072))"
17,1,177.71694167953436,-40.60412280904035,177.636970239853,-40.86691538086605,4.127285195463271,7.1789877498275185,9.33816076874916,"POLYGON Z ((1962071.362013331 5473949.058511704 -9338.160768749161, 1990821.547959508 5465656.605320118 -7178.987749827518, 1999135.562537175 5494481.545243774 -7178.987749827518, 1970385.376590999 5502773.998435359 -9338.160768749161, 1962071.362013331 5473949.058511704 -9338.160768749161))"
17,2,177.4327483775506,-40.43163080497798,177.36685793172663,-40.69671657726635,2.9891059825144315,8.947899663151212,10.512282045139292,"POLYGON Z ((1939872.298939563 5492774.61477734 -10512.28204513929, 1968991.679412315 5485730.866581524 -8947.899663151211, 1976045.023911303 5514889.918887431 -8947.899663151211, 1946925.643438552 5521933.667083247 -10512.28204513929, 1939872.298939563 5492774.61477734 -10512.28204513929))"
17,3,177.17884128220356,-40.29824674870317,177.04518951357193,-40.54803948578779,4.098796832212926,10.106130562675412,12.250425527251316,"POLYGON Z ((1915424.694489365 5516147.540306815 -12250.42552725132, 1942564.383697278 5503544.395111953 -10106.13056267541, 1955199.846817028 5530753.677935089 -10106.13056267541, 1928060.157609115 5543356.823129951 -12250.42552725132, 1915424.694489365 5516147.540306815 -12250.42552725132))"
17,4,176.91372434098224,-40.155799215510505,176.73650434521204,-40.38911262948296,7.682363971521319,12.019853838075733,16.03028827039682,"POLYGON Z ((1892137.372285673 5538394.214334147 -16030.28827039682, 1917165.542147686 5522347.185667683 -12019.85383807573, 1933357.907092011 5547602.03307387 -12019.85383807573, 1908329.737229998 5563649.061740334 -16030.28827039682, 1892137.372285673 5538394.214334147 -16030.28827039682))"
17,5,176.64266433664247,-39.996671198076555,176.45275805570319,-40.22389389416534,13.534633571263411,15.807452919139998,22.828445603291797,"POLYGON Z ((1869892.440256007 5558391.571863967 -22828.4456032918, 1893791.379968095 5541671.932443002 -15807.45291914, 1910988.609991272 5566253.536937623 -15807.45291914, 1887089.670279183 5582973.176358588 -22828.4456032918, 1869892.440256007 5558391.571863967 -22828.4456032918))"
17,6,176.37673055382422,-39.835370134797216,176.18260658011891,-40.06030486094112,20.421708700247628,22.895001233632733,33.36281565770264,"POLYGON Z ((1848620.350263465 5577100.922930092 -33362.81565770264, 1871451.425057341 5560694.616674884 -22895.00123363273, 1888958.023616869 5585056.862196911 -22895.00123363273, 1866126.948822992 5601463.168452119 -33362.81565770264, 1848620.350263465 5577100.922930092 -33362.81565770264))"
17,7,176.12363649718347,-39.68385801380721,175.91881747450228,-39.902900777645655,25.84549273276661,33.58924151515719,46.66761591668773,"POLYGON Z ((1828169.921120326 5595465.777107823 -46667.61591668773, 1849521.239940776 5578940.726195922 -33589.24151515719, 1867882.960205766 5602665.127746019 -33589.24151515719, 1846531.641385317 5619190.178657919 -46667.61591668773, 1828169.921120326 5595465.777107823 -46667.61591668773))"
18,0,178.1837519439078,-40.539700361923934,178.10129805662874,-40.80192462095341,7.05350662079113,2.6085671825101766,6.2924530604848385,"POLYGON Z ((2001893.346161501 5479308.634871719 -6292.453060484839, 2030392.452384134 5470692.955597911 -2608.567182510177, 2039073.83313633 5499409.390408579 -2608.567182510177, 2010574.726913697 5508025.069682388 -6292.453060484839, 2001893.346161501 5479308.634871719 -6292.453060484839))"
18,1,177.90492419510235,-40.37444797107709,177.82479728428154,-40.637127465036826,4.811873215320795,6.048399888242138,8.564930132074961,"POLYGON Z ((1979366.973123361 5498695.962540588 -8564.930132074962, 2008063.857179194 5490320.049395264 -6048.399888242138, 2016469.395665336 5519118.433425588 -6048.399888242138, 1987772.511609504 5527494.346570912 -8564.930132074962, 1979366.973123361 5498695.962540588 -8564.930132074962))"
18,2,177.64278688716703,-40.231416977919984,177.5176724885265,-40.48364189979706,3.4464388432889597,8.288557393111352,10.092020535669157,"POLYGON Z ((1955545.965329859 5520808.638703568 -10092.02053566916, 1982955.641438989 5508748.075852438 -8288.557393111352, 1995038.056163681 5536207.41405314 -8288.557393111352, 1967628.380054552 5548267.97690427 -10092.02053566916, 1955545.965329859 5520808.638703568 -10092.02053566916))"
18,3,177.382170231447,-40.103396663258316,177.19060948434714,-40.32977893376317,4.497042819338303,9.819884505279601,12.172113770933892,"POLYGON Z ((1931759.67354646 5544674.884680737 -12172.11377093389, 1956034.444017812 5527204.837856387 -9819.8845052796, 1973558.440535403 5551554.571860097 -9819.8845052796, 1949283.670064051 5569024.618684447 -12172.11377093389, 1931759.67354646 5544674.884680737 -12172.11377093389))"
18,4,177.10917235998926,-39.94693419728773,176.9017452790088,-40.16474378947545,7.941752829892915,11.9906119088194,16.13560144424238,"POLYGON Z ((1909130.283978965 5565262.389367761 -16135.60144424238, 1932293.616319571 5546653.813478406 -11990.6119088194, 1951082.394610051 5570041.455735615 -11990.6119088194, 1927919.062269446 5588650.03162497 -16135.60144424238, 1909130.283978965 5565262.389367761 -16135.60144424238))"
18,5,176.83571739053681,-39.777274658901334,176.63326274235297,-39.99762605943366,13.520625213703612,15.950242869507944,22.964104281306877,"POLYGON Z ((1887098.546895457 5584012.48004627 -22964.10428130688, 1910181.443327979 5566180.328174397 -15950.24286950794, 1928521.885473889 5589921.182874523 -15950.24286950794, 1905438.989041367 5607753.334746396 -22964.10428130688, 1887098.546895457 5584012.48004627 -22964.10428130688))"
18,6,176.56880019319917,-39.61185273449863,176.3688651997446,-39.83337021371251,20.816923907219948,22.93806497320586,33.59955718604044,"POLYGON Z ((1865925.876436024 5602216.905552434 -33599.55718604045, 1888293.191294868 5585304.312321324 -22938.06497320586, 1906386.930332962 5609233.721165283 -22938.06497320586, 1884019.615474118 5626146.314396393 -33599.55718604045, 1865925.876436024 5602216.905552434 -33599.55718604045))"
18,7,176.31662393747249,-39.46114990834827,176.1060562995575,-39.67649703287225,27.448765436540068,33.826132976064486,47.65479057074181,"POLYGON Z ((1845761.69909536 5620348.140396698 -47654.79057074181, 1866403.320831534 5603534.702876968 -33826.13297606449, 1885349.674857146 5626794.876331528 -33826.13297606449, 1864708.053120972 5643608.313851258 -47654.79057074181, 1845761.69909536 5620348.140396698 -47654.79057074181))"
19,0,178.27162230911372,-40.26608758463925,178.1404006230652,-40.51635110910969,6.393334868816076,3.229710592184348,6.570310430283867,"POLYGON Z ((2008581.607959446 5514924.418845393 -6570.310430283867, 2035551.961741563 5502218.498587925 -3229.710592184348, 2048337.396156963 5529357.633924363 -3229.710592184348, 2021367.042374846 5542063.554181831 -6570.310430283867, 2008581.607959446 5514924.418845393 -6570.310430283867))"
19,1,178.00164845160427,-40.11642014754268,177.84449488746287,-40.357734608740586,4.619500373291804,6.492311391309318,8.90845646436215,"POLYGON Z ((1985466.169957663 5536077.404948889 -8908.456464362151, 2011438.349977806 5521258.224540135 -6492.311391309318, 2026305.82700858 5547315.04949521 -6492.311391309318, 2000333.646988437 5562134.229903964 -8908.456464362151, 1985466.169957663 5536077.404948889 -8908.456464362151))"
19,2,177.7346937727299,-39.981934462742515,177.52775366106812,-40.1999146179487,4.25614466108217,8.76198968777045,10.988452870778826,"POLYGON Z ((1962203.174344447 5559074.485955779 -10988.45287077882, 1985425.736101067 5540213.004382089 -8761.98968777045, 2004339.377115678 5563499.785687595 -8761.98968777045, 1981116.815359058 5582361.267261285 -10988.45287077882, 1962203.174344447 5559074.485955779 -10988.45287077882))"
19,3,177.46132849736023,-39.83126521620363,177.23228344666407,-40.035525162758454,6.138420300099008,10.804749220768437,14.012673562148521,"POLYGON Z ((1939534.089222339 5580279.647826358 -14012.67356214852, 1961136.311838979 5559711.390743146 -10804.74922076844, 1981823.177811487 5581438.184713622 -10804.74922076844, 1960220.955194847 5602006.441796834 -14012.67356214852, 1939534.089222339 5580279.647826358 -14012.67356214852))"
19,4,177.18713350227165,-39.661037309109915,176.96382051361022,-39.86875175299065,10.143589169505043,13.824459385296661,19.107929191618013,"POLYGON Z ((1917201.05527939 5599156.942223813 -19107.92919161801, 1939046.076979616 5579285.3551276 -13824.45938529666, 1959233.199283742 5601477.247635411 -13824.45938529666, 1937388.177583517 5621348.834731624 -19107.92919161801, 1917201.05527939 5599156.942223813 -19107.92919161801))"
19,5,176.91596610746592,-39.489467664767034,176.70150854786797,-39.70242235696389,16.53053749526038,18.856039497291352,27.391829575087755,"POLYGON Z ((1895450.381952879 5617337.995010545 -27391.82957508776, 1917367.904866686 5598716.435541196 -18856.03949729135, 1936792.309471465 5621578.904912412 -18856.03949729135, 1914874.786557658 5640200.464381762 -27391.82957508776, 1895450.381952879 5617337.995010545 -27391.82957508776))"
19,6,176.6540758973321,-39.328878176117065,176.43764366053242,-39.540391166317775,25.458254225517614,27.277440326837635,40.17304106271283,"POLYGON Z ((1874888.001034657 5635265.214071222 -40173.04106271283, 1895427.979652243 5617606.993321383 -27277.44032683763, 1914985.235016148 5640355.922145199 -27277.44032683763, 1894445.256398561 5658014.142895037 -40173.04106271283, 1874888.001034657 5635265.214071222 -40173.04106271283))"
20,0,178.46924894460366,-40.0626408155678,178.2912306449051,-40.29509054228043,6.623733069415093,2.8739678097907437,6.334426280468402,"POLYGON Z ((2025081.160250383 5542660.733124518 -6334.426280468402, 2049812.916105178 5526036.489397013 -2873.967809790744, 2066548.871142779 5550934.437283925 -2873.967809790744, 2041817.115287983 5567558.68101143 -6334.426280468402, 2025081.160250383 5542660.733124518 -6334.426280468402))"
20,1,178.19597517178676,-39.90952979235008,178.00156105435303,-40.13397824188255,5.120733372156791,6.371541144214199,9.049182865572226,"POLYGON Z ((2002307.858225476 5563325.081593991 -9049.182865572226, 2026188.386879125 5545365.38822149 -6371.541144214199, 2044220.047631645 5569341.609994448 -6371.541144214199, 2020339.518977996 5587301.303366949 -9049.182865572226, 2002307.858225476 5563325.081593991 -9049.182865572226))"
20,2,177.92366490804147,-39.76415332966601,177.70062301447933,-39.97204545714817,4.856587937164603,8.87323038320574,11.413089914255048,"POLYGON Z ((1979507.845750689 5585012.718033182 -11413.08991425505, 2001486.632320696 5564752.361311924 -8873.230383205741, 2021819.991307414 5586810.342006385 -8873.230383205741, 1999841.204737408 5607070.698727643 -11413.08991425505, 1979507.845750689 5585012.718033182 -11413.08991425505))"
20,3,177.64964296857937,-39.60803815815154,177.41384562754658,-39.807099425186095,6.706856191040203,11.255918639997903,14.759606104504716,"POLYGON Z ((1956953.418822216 5605521.928467678 -14759.60610450472, 1977890.541724838 5584323.79037228 -11255.9186399979, 1999234.745006871 5605405.179943541 -11255.9186399979, 1978297.622104249 5626603.318038939 -14759.60610450472, 1956953.418822216 5605521.928467678 -14759.60610450472))"
20,4,177.37666876072703,-39.44100806001148,177.1428051099153,-39.64111568158676,10.596689272721372,14.548047609819957,20.06488420768871,"POLYGON Z ((1934627.220569182 5624665.009657331 -20064.88420768871, 1955531.065027308 5603866.120244121 -14548.04760981996, 1976690.813278385 5625132.644500591 -14548.04760981996, 1955786.968820259 5645931.5339138 -20064.88420768871, 1934627.220569182 5624665.009657331 -20064.88420768871))"
20,5,177.1071162997234,-39.272934001921044,176.87744480723828,-39.47563394642881,17.33567742278784,19.775758394990074,28.714838443601117,"POLYGON Z ((1912897.287723298 5643102.431333441 -28714.83844360112, 1933544.504520049 5623258.407385852 -19775.75839499007, 1954332.828903907 5644888.14546359 -19775.75839499007, 1933685.612107155 5664732.169411179 -28714.83844360112, 1912897.287723298 5643102.431333441 -28714.83844360112))"
20,6,176.84681583536175,-39.111739968043715,176.61710722093036,-39.31412312232261,26.942333944525426,28.58042601653317,42.173231174560094,"POLYGON Z ((1892562.196542396 5660634.675721732 -42173.2311745601, 1911863.272037399 5642122.405934586 -28580.42601653317, 1932629.43938707 5663773.417310628 -28580.42601653317, 1913328.363892066 5682285.687097774 -42173.2311745601, 1892562.196542396 5660634.675721732 -42173.2311745601))"
