along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),top_depth (km),bottom_depth (km),slip_deficit (mm/yr),tile_geometry,interpolation_method,centroid_longitude_deg,centroid_latitude_deg
6,2,174.00820709589786,-42.36469880853097,173.8965086041768,-42.47145460720152,16.839445778232765,19.28429858216612,7.974678626424117,"POLYGON Z ((1662102.60424585 5306685.39412812 -19284.2985821661, 1673696.41245903 5297487.22551241 -16839.4457782328, 1683019.24893278 5309238.17100985 -16839.4457782328, 1671425.44071959 5318436.33962556 -19284.2985821661, 1662102.60424585 5306685.39412812 -19284.2985821661))",2d_linear_centroids_interior,173.8813748689698,-42.37723916163684
6,3,173.87161873842166,-42.281783328416566,173.75492750549327,-42.38547405289612,19.279793436317693,22.706617840989825,10.50487527836521,"POLYGON Z ((1651023.22179641 5316614.05544035 -22706.6178409898, 1662142.71527017 5307147.6020714 -19279.7934363177, 1671866.31424234 5318569.14413141 -19279.7934363177, 1660746.82076858 5328035.59750036 -22706.6178409898, 1651023.22179641 5316614.05544035 -22706.6178409898))",2d_linear_centroids_interior,173.74533775334464,-42.29147750768097
6,4,173.7364540813428,-42.19508805211694,173.62197249827562,-42.30003678174834,22.714706831787865,27.227293333525676,12.714635535071071,"POLYGON Z ((1640226.38563878 5325818.26464523 -27227.2933335257, 1651267.69605747 5316722.87969996 -22714.7068317879, 1660804.89247577 5328300.52559534 -22714.7068317879, 1649763.58205708 5337395.9105406 -27227.2933335257, 1640226.38563878 5325818.26464523 -27227.2933335257))",2d_linear_centroids_interior,173.61194857770764,-42.20699779849121
6,5,173.60472746186866,-42.11274127714148,173.48816037430132,-42.21632400174593,27.206090953534027,33.09775143079187,9.847063481932622,"POLYGON Z ((1629771.0471755 5335012.5946415 -33097.7514307919, 1640291.11221213 5326089.78295204 -27206.090953534, 1649993.68482172 5337529.19223555 -27206.090953534, 1639473.61978508 5346452.00392502 -33097.7514307919, 1629771.0471755 5335012.5946415 -33097.7514307919))",2d_linear_centroids_interior,173.4825108637656,-42.12465308707283
6,6,173.4777791254036,-42.02899384075481,173.36644882398426,-42.13563749640702,33.22347094038021,39.99566058654114,6.340572195589431,"POLYGON Z ((1619759.21263093 5343367.45965988 -39995.6605865411, 1630283.90636909 5335098.94896483 -33223.4709403802, 1639550.61186117 5346894.20942499 -33223.4709403802, 1629025.918123 5355162.72012005 -39995.6605865411, 1619759.21263093 5343367.45965988 -39995.6605865411))",2d_linear_centroids_interior,173.3583289831133,-42.04531089381773
6,7,173.3533809126195,-41.94774685884016,173.2454486544612,-42.05623937937142,39.76242965444102,47.15906565317652,3.229649513363281,"POLYGON Z ((1609857.28969505 5351763.19360288 -47159.0656531765, 1620309.57151001 5343950.41043919 -39762.429654441, 1629290.1175386 5355964.97630852 -39762.429654441, 1618837.83572364 5363777.75947221 -47159.0656531765, 1609857.28969505 5351763.19360288 -47159.0656531765))",2d_linear_centroids_interior,173.23622489273092,-41.96696982387496
7,0,174.39504878782375,-42.4019260175155,174.3586271261218,-42.53427463117264,14.323902170082052,15.254455095980543,0.4888189184053934,"POLYGON Z ((1696953.7681395 5293233.21910276 -15254.4550959805, 1711573.06594954 5290006.73451524 -14323.9021700821, 1714805.77719511 5304654.24549843 -14323.9021700821, 1700186.47938507 5307880.73008595 -15254.4550959805, 1696953.7681395 5293233.21910276 -15254.4550959805))",2d_linear_centroids_interior,174.28766526669855,-42.45461031622294
7,1,174.27446577130328,-42.34877730512737,174.17372587447787,-42.46134226457355,15.156913900194326,16.60310441348468,4.28742477878423,"POLYGON Z ((1684178.53175581 5306762.81749037 -16603.1044134847, 1696500.51069298 5298332.07801681 -15156.9139001943, 1704970.70905585 5310711.72824182 -15156.9139001943, 1692648.73011868 5319142.46771538 -16603.1044134847, 1684178.53175581 5306762.81749037 -16603.1044134847))",2d_linear_centroids_interior,174.14859496798613,-42.36788928324613
7,2,174.13775595126464,-42.27177056634678,174.02193733131932,-42.37598032552039,16.568985660991867,18.975508133127743,8.520053185909324,"POLYGON Z ((1672833.09013545 5317536.52114257 -18975.5081331277, 1684134.79609603 5307971.99857364 -16568.9856609919, 1693824.83926904 5319422.0231721 -16568.9856609919, 1682523.13330846 5328986.54574103 -18975.5081331277, 1672833.09013545 5317536.52114257 -18975.5081331277))",2d_linear_centroids_interior,174.0106350076702,-42.28145184031774
7,3,174.00084268165645,-42.1875694177569,173.8821634818803,-42.289895007983894,18.957055484272445,22.375227965598047,11.0186817541354,"POLYGON Z ((1661768.96008351 5327316.11802748 -22375.227965598, 1672726.42002518 5317659.50534421 -18957.0554842724, 1682643.96679849 5328913.04994132 -18957.0554842724, 1671686.50685683 5338569.66262459 -22375.227965598, 1661768.96008351 5327316.11802748 -22375.227965598))",2d_linear_centroids_interior,173.87455587217232,-42.195792935407674
7,4,173.86614205006043,-42.103846179182355,173.74544046634483,-42.20475595658298,22.394720998902358,26.906326639623458,12.50190501333945,"POLYGON Z ((1650941.73815024 5336831.85468773 -26906.3266396235, 1661537.47026615 5327220.61775013 -22394.7209989024, 1671615.35841063 5338330.80094156 -22394.7209989024, 1661019.62629473 5347942.03787916 -26906.3266396235, 1650941.73815024 5336831.85468773 -26906.3266396235))",2d_linear_centroids_interior,173.74121453180442,-42.11147123740794
7,5,173.73413122363368,-42.018714852334845,173.61576024502892,-42.121045488591676,26.89746537185473,32.40175571201591,11.795787477620129,"POLYGON Z ((1640401.77690116 5345793.47945009 -32401.7557120159, 1650899.1386111 5336600.64610113 -26897.4653718547, 1660781.35959359 5347885.22444741 -26897.4653718547, 1650283.99788364 5357078.05779637 -32401.7557120159, 1640401.77690116 5345793.47945009 -32401.7557120159))",2d_linear_centroids_interior,173.61115423438886,-42.02885524636437
7,6,173.6053156224643,-41.93333292009009,173.49293957032964,-42.03926646209905,32.441559086213466,38.91566138127598,8.099306571381387,"POLYGON Z ((1630243.07595875 5354211.62059574 -38915.661381276, 1640799.02793926 5345746.52300279 -32441.5590862135, 1650183.19349139 5357448.55004473 -32441.5590862135, 1639627.24151088 5365913.64763768 -38915.661381276, 1630243.07595875 5354211.62059574 -38915.661381276))",2d_linear_centroids_interior,173.4851707586293,-41.94848051968444
7,7,173.48183249573248,-41.856149003898445,173.36636152100826,-41.96012937425509,38.94066322072394,46.38903117755287,4.2391579183615065,"POLYGON Z ((1620380.42711017 5362947.88990639 -46389.0311775529, 1630360.14495672 5354585.65058412 -38940.6632207239, 1639994.02102561 5366082.97339812 -38940.6632207239, 1630014.30317906 5374445.21272039 -46389.0311775529, 1620380.42711017 5362947.88990639 -46389.0311775529))",2d_linear_centroids_interior,173.3637666856482,-41.87070226150406
8,0,174.51932856950484,-42.300666806990726,174.4970173222348,-42.43471531963639,13.231122043476061,14.482558208087463,0.9571025649301584,"POLYGON Z ((1708332.96328763 5302964.37408723 -14482.5582080875, 1723133.28192774 5300870.46012598 -13231.1220434761, 1725234.52140357 5315722.55737402 -13231.1220434761, 1710434.20276346 5317816.47133527 -14482.5582080875, 1708332.96328763 5302964.37408723 -14482.5582080875))",2d_linear_centroids_interior,174.41812616064632,-42.359412585945776
8,1,174.40326741321084,-42.24858063392901,174.3115015593443,-42.36521982926464,14.512762812621256,16.220398723267834,5.093336855276414,"POLYGON Z ((1695245.71611799 5316559.0472272 -16220.3987232678, 1707993.0300443 5308839.59340837 -14512.7628126213, 1715762.99780659 5321670.32218631 -14512.7628126213, 1703015.68388029 5329389.77600513 -16220.3987232678, 1695245.71611799 5316559.0472272 -16220.3987232678))",2d_linear_centroids_interior,174.27940989060917,-42.27304551844391
