along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),slip_deficit (mm/yr),tile_geometry
40,11,176.78159067902172,-40.501513716521224,176.74714177982048,-40.58756733003142,4.567420906241374,11.770785139748154,12.567106444856734,26.990185548771876,"POLYGON Z ((1907731.137343878 5503589.216854013 -12567.10644485673, 1917131.616773647 5500273.065640705 -11770.78513974815, 1920458.332573711 5509703.493095788 -11770.78513974815, 1911057.853143943 5513019.644309096 -12567.10644485673, 1907731.137343878 5503589.216854013 -12567.10644485673))"
40,12,176.67831101504862,-40.466570474467964,176.6360705204825,-40.55057989261986,5.6412000080951925,12.627154280706701,13.610139464715191,26.15244697044807,"POLYGON Z ((1898764.133693233 5508722.648232402 -13610.13946471519, 1907899.084592609 5504774.685188754 -12627.1542807067, 1911866.260776895 5513954.092202436 -12627.1542807067, 1902731.309877519 5517902.055246084 -13610.13946471519, 1898764.133693233 5508722.648232402 -13610.13946471519))"
40,13,176.57464596029422,-40.431215707962224,176.52566041374143,-40.51306166840114,6.92335320663275,13.589837738776314,14.795252410310415,24.923210252328193,"POLYGON Z ((1889859.289196636 5513807.631165913 -14795.25241031042, 1898714.589124699 5509320.913138927 -13589.83773877631, 1903234.26329212 5518241.257606511 -13589.83773877631, 1894378.963364057 5522727.975633497 -14795.25241031042, 1889859.289196636 5513807.631165913 -14795.25241031042))"
40,14,176.47089047255974,-40.39546746226144,176.4161638887381,-40.4751589032305,8.43074198744817,14.79252600490388,16.2586640098143,24.470051780445296,"POLYGON Z ((1881025.44636335 5518829.310604625 -16258.6640098143, 1889598.778821653 5513894.899807988 -14792.52600490388, 1894587.094303767 5522561.889403625 -14792.52600490388, 1886013.761845465 5527496.300200263 -16258.6640098143, 1881025.44636335 5518829.310604625 -16258.6640098143))"
40,15,176.3672580947034,-40.35951751151729,176.30738214781775,-40.43700921852903,10.274757316352828,16.226787363990745,18.010474659706677,25.65011480268916,"POLYGON Z ((1872257.396107623 5523803.303103311 -18010.47465970668, 1880534.190674133 5518482.294614791 -16226.78736399075, 1885941.919025044 5526893.981370891 -16226.78736399075, 1877665.124458535 5532214.989859411 -18010.47465970668, 1872257.396107623 5523803.303103311 -18010.47465970668))"
40,16,176.26396941870547,-40.322920111289875,176.20038262116154,-40.39865384432685,12.429443531127216,18.02027046425135,20.172642439754274,26.936713767456464,"POLYGON Z ((1863592.817165819 5528649.666974961 -20172.64243975427, 1871611.272356339 5523075.470060903 -18020.27046425135, 1877319.254089098 5531286.374063416 -18020.27046425135, 1869300.798898577 5536860.570977475 -20172.64243975427, 1863592.817165819 5528649.666974961 -20172.64243975427))"
40,17,176.16137485733253,-40.28569167536172,176.09551734248612,-40.360268947707326,14.835732479640884,20.23110559733688,22.7915922679923,25.860890476830175,"POLYGON Z ((1855046.92802242 5533347.269928792 -22791.5922679923, 1862859.413961974 5527654.382133159 -20231.10559733688, 1868748.625137394 5535736.28733746 -20231.10559733688, 1860936.13919784 5541429.175133093 -22791.5922679923, 1855046.92802242 5533347.269928792 -22791.5922679923))"
40,18,176.05892729379065,-40.247916690200036,175.99162727162087,-40.3217220173821,17.21164682440231,22.54673564400534,25.505757929566897,23.36046292989384,"POLYGON Z ((1846540.678936275 5537971.045666107 -25505.7579295669, 1854180.921502874 5532237.732432288 -22546.73564400534, 1860183.019285899 5540236.158665179 -22546.73564400534, 1852542.7767193 5545969.471898998 -25505.7579295669, 1846540.678936275 5537971.045666107 -25505.7579295669))"
40,19,175.95901834720814,-40.21077946501086,175.89060308472844,-40.28396652227782,19.282916388218904,25.649023499286418,28.951353192851926,20.234312919483344,"POLYGON Z ((1838245.182506162 5542461.423136049 -28951.35319285193, 1845733.176172902 5536714.722391983 -25649.02349928642, 1851821.43133413 5544647.763996045 -25649.02349928642, 1844333.43766739 5550394.464740111 -28951.35319285193, 1838245.182506162 5542461.423136049 -28951.35319285193))"
40,20,175.8600604046452,-40.17403718930552,175.79024585613936,-40.24642869833988,21.14980289970128,28.98007408976456,32.58815027137866,16.6182443156367,"POLYGON Z ((1830013.067040411 5546936.568769432 -32588.15027137866, 1837331.840799917 5541155.795730743 -28980.07408976456, 1843530.128885572 5549003.166297195 -28980.07408976456, 1836211.355126066 5554783.939335884 -32588.15027137866, 1830013.067040411 5546936.568769432 -32588.15027137866))"
